RecordNumber,Company_Name,Address,Phone,FAX,Notes,Website
54,Modern Postcard,"1675 Faraday Ave. United States Carlsbad, CA 92008",760-431-7084,760-268-1700 fax,"...Modern Postcard has an absolute commitment to excellence in serving our customers' needs for direct marketing products and solutions. With...",http://www.modernpostcard.com/
55,Name-Finders Lists Inc,"8080 Capwell Drive Suite 100 Oakland, CA 94621",415-955-8585,415-955-8581 fax,"...Name-Finders Lists, Inc. -- Your Direct Marketing Source Since 1981 At Name-Finders Lists, Inc., we have designed and developed a full...",http://www.namefinders.com
56,Names In The News,"180 Grand Ave. Ste. 1545 Oakland, CA 94610",415-989-3350,415-433-7796 fax,...A leader in nonprofit direct mail fundraising for nonprofits. Pacific Lists division also handles the cultural creative marketplace Names in...,http://www.namesinthenews.com
57,Peppermill Marketing,"8335 Sunset Blvd Suite 246 West Hollywood, CA 90069",310-659-8900,310-659-8901 fax,"...Peppermill Marketing is a privately owned company that performs Direct Mail and Email List Management, List Acquisition and Direct Marketing...",http://www.peppermillmarketing.com
58,PTI Marketing Technologies,"201 Lomas Santa Fe Dr Suite 300 Solana Beach, CA 92075-1288",858-847-6600,858.793.4120 fax,"...Launched in 2000, Printable Technologies is a leading provider of technologies for intelligent marketing for both enterprise users and print...",http://www.pti.com
59,R2C Group,"333 Bryant Street Suite 160 San Francisco, CA 94107",415-398-4112,415-398-1648 fax,"...Welcome to the new age of Accountable Advertising! Today's consumers are more informed, more independent, and more skeptical than ever...",http://www.r2cgroup.com
60,Response ADvantage,"8635 Falmouth #301 Playa del Rey, CA 90293-8281",310-577-0389,310-577-8901 fax,"...Response ADvantage is a direct marketing, advertising and media consultancy with decades of experience offering strategic expertise, operational assistance, creative...",http://www.responseadvantage.com
61,Responsys,"900 Cherry Ave, Ste 500 San Bruno, CA 94066",800-624-5356,650-745-1701 fax,"...From the moment you choose the Responsys solution, you're supported by an experienced team of customer-focused professionals with unique marketing...",http://www.responsys.com
62,Ron Perrella DRS (DR Specialists),"29632 Seriana Laguna Niguel, CA 92677-7967",949-495-7661,949-495-7660 fax,...Mr. Perrella has been in advertising and marketing since 1957. He started as a client and then founded an advertising...,http://www.ronperrelladrs.com
63,"SK&A, A Cegedim Company","2601 Main St # 650 Irvine, CA 92614-4228",949-476-2051,949-476-2168 fax,"...For 28 years and counting, SK&A continues to provide the highest quality healthcare data solutions. A database containing over...",http://www.skainfo.com
64,SolutionSet,"100 Shoreline Hwy Mill Valley, CA 94941-3645",415-289-1110,415-289-0120 fax,...About UsSolutionSet helps businesses win and retain customers in profitable relationships. How? By activating your brand in the transactional space...,http://www.solutionset.com
65,StrongMail,"1300 Island Dr., Suite 200 Redwood City, CA 94065-5171",650-421-4200,650-421-4201 fax,"...StrongMail enables marketers to forge meaningful, profitable and long-lasting connections with their customers through email marketing and social media. With...",http://www.strongmail.com?cid=dma_direct
66,"Telecom, Inc.","2201 Broadway Suite103 Oakland, CA 94612",510-873-8283,510-873-8293 fax,"...Telecom, Inc. is a premier provider of outsourced contact center solutions. Our combination of customized services, the latest technology, and...",http://www.telecominc.com
67,The Copy Works,"12668 Camino Emparrado San Diego, CA 92128",858-676-6757,866-298-5364 fax,...Boost your B2B marketing success with copywriting that generates results. Enhance the power of your B2B direct marketing copy and see...,http://www.thecopyworks.com
68,The Kern Organization,"20955 Warner Center Lane Woodland Hills, CA 91367",818-703-8775,818-703-8458 fax,"...For clients who are unwilling to accept trade-offs, The Kern Organization is the ideal Direct Marketing partner. Sophisticated, efficient, and...",http://www.thekernorg.com
69,TOLLFREEFORWARDING,"5959 West Century Blvd. Suite 1108 Los Angeles, CA 90045",213-452-1505,,"...TollFreeForwarding.com is a privately owned Los Angeles-based telecommunications company providing businesses worldwide with US and international toll free telephone numbers,...",http://www.tollfreeforwarding.com
70,US Data Corporation,"30501 Agoura Rd., Ste. 102 Agoura Hills, CA 91301",818-444-4590,818-276-8321 fax,"...US Data Corporation is one of the nation's most reliable resources for accurate, responsive, and current consumer lists, business lists,...",http://www.usdatacorporation.com/
71,"VeraVista Solutions, LLC","1819 Polk Street #381 San Francisco, CA 94109",415-668-1788,,...What We Do VeraVista Solutions provides result-driven strategies to for-profit and not-for-profit organizations in start-up or growth mode. We work...,http://www.veravistasolutions.com
72,"Vidi Emi, Inc","2450 Washington Ave Suite 285 San Leandro, CA 94577",510-904-6977,,"...Since 1998, Vidi Emi has been a leader in email marketing solutions, helping clients enhance communication through advanced online...",http://www.vidiemi.com
73,VMBC,"8105 Irvine Center Dr. Suite 900 Irvine, CA 92618",714-437-0600,714-242-1989 fax,...VMBC (Voice & Mobile Broadcast Corporation) is widely recognized as the pioneer and industry leader in providing turn-key Voice &...,http://www.vmbc.com
74,"5 Guys Printing, Inc. dba PIP Printing","PO Box 1817 Yuba City, CA 95992",530-674-8040,,,
75,Admail West,"521 N 10th St Sacramento, CA 95814-0311",916-442-3613,916-442-0186 fax,,
76,Advanced Image Direct,"1415 S. Acacia Ave Fullerton, CA 92831",714-502-3900,,,
77,Advent Software Inc.,"600 Townsend 5th Floor San Francisco, CA 94103",415-645-1200,,,
78,Affinitive,"612 Howard St Suite 100 San Francisco, CA 94105",415-278-9700,,,
79,"Agia, Inc.","1155 Eugenia Place Carpinteria, CA 93013",805-566-9191,,,
80,ARAMARK Uniform Services,"115 North First Street Burbank, CA 91502",818-973-3700,818-973-2848 fax,,
81,"Ariba, Inc.","807 11th Avenue Sunnyvale, CA 94089",831-465-0898,,,
82,Arvato Digital Services,"29011 Commerce Center St. Valencia, CA 91355",818-445-9342,,,
83,Avery Dennison,"50 Pointe Dr Brea, CA 92821-3699",714-674-8500,,,
84,"Avrick Direct, Inc.","5951 Encina Rd. Ste. 104 Goleta, CA 93117-6251",805-683-6551,805-683-6553 fax,,
85,"B2B, LLC","8605 Santa Monica Boulevard, Dept 83797 West Hollywood, CA 90069",800-870-3221,415-706-3439 fax,,
86,Baker Corp.,"3020 Old Ranch Pkwy Ste 220 Seal Beach, CA 90740-8805",,,,
87,Beach Audio Inc.,"1601 N Sepulveda Blvd #712 Manhattan Beach, CA 90266",877-804-0495,,,
88,Bizo,"140 Pacific Ave San Francisco, CA 94111-1905",866-497-5505,,,
89,BlueCava,"2151 Michelson Drive Irvine, CA 92612",949-483-8880,,,
90,Bunchball,"355 Santana Row Ste 2020 San Jose, CA 95128-2052",408-985-2034,,,
91,Byrum & Fleming,"321 San Anselmo Ave. San Anselmo, CA 94960-2647",415-457-1700,,,
92,California Chamber of Commerce,"1332 N Market Blvd Sacramento, CA 95834-1912",800-331-8877,,,
93,Capital Insurance Group,"2300 Garden Rd Monterey, CA 93940-5326",831-233-5500,,,
94,Causata,"1400 Fashion Island Blvd, Suite 800 San Francisco, CA 94114",855-228-7282,,,
95,Cedar Creek Publishing,"5921 Clark Road, Suite D Paradise, CA 95969",530-872-0850,530-872-0851 fax,,
96,Century Park Capital Partners,"2101 Rosecrans Avenue Suite 4275 El Segundo, CA 90245",310-867-2210,,,
97,Charles Schwab,"101 Montgomery St San Francisco, CA 94104-4151",415-667-3178,,,
98,City of Hope Cancer Center,"1055 Wilshire Blvd Los Angeles, CA 90017-2431",626-256-4673,,,
99,CMConnolly,"9545 Coney Island Circle Elk Grove, CA 95758",916-897-8095,,,
100,Commercetel,"8929 Aero Drive San Diego, CA 92108",619-725-0938,,,
101,"Computerized Research & Development, Inc","6110 Auburn Folsom Rd Granite Bay, CA 95746-5868",916-652-0497,916-652-6252 fax,,
102,Continuum Global,"431 Bryant Street San Francisco, CA 94107",415-685-3301,,,
103,CoreLogic,"4 First American Way Santa Ana, CA 92707",800-426-1466,,,
104,"Corinthian Colleges, Inc.","6 Hutton Centre Drive Suite 400 Santa Ana, CA 92707",714-427-3000,,,
105,CustomerLink,"1376 Lead Hill Blvd Suite 150 Roseville, CA 95661",866-956-9308,,,
106,DataQuick,"9620 Towne Center Dr. San Diego, CA 92121",858-597-3221,,,
107,Dedicated Media,"909 Sepulveda Blvd, Suite 320 El Segundo, CA 90245",310-524-9400,,,
108,"DIRECTV, Inc.","2230 East Imperial Hwy Mail stop: N377 El Segundo, CA 90245",310-535-5000,3109644228 fax,,
109,"DMS Marketing, Inc.","25910 Acero Suite 240 Mission Viejo, CA 92691-7936",949-460-7300,949-460-7320 fax,,
110,"Dream Products, Inc.","9754 Deering Ave. Chatsworth, CA 91311-4301",818-773-4233,,,
111,DS Direct Communications,"1840 S Elena Ave Ste. 210 Redondo Beach, CA 90277-5717",310-540-4313,310-540-0032 fax,,
112,Ebay,"2211 N. 1st Street San Jose, CA 95051",408-376-7400,408-967-9927 fax,,
113,Education - Portal.com,"551 Pilgrim Dr Ste B Foster City, CA 94404",650-425-7511,6502274922 fax,,
114,"Egency - New ProImage, Inc","2545 West Hillcrest Dr #220 Thousand Oaks, CA 91320",805-277-6791,,,
115,Electronic Arts,"209 Redwood Shores Pkwy Redwood City, CA 94065-1175",650-628-1500,,,
116,"Eleven, Inc.","445 Bush St San Francisco, CA 94108-3707",415-707-1111,415-707-1100 fax,,
117,EMC,"6801 Koll Center Parkway Pleasanton, CA 94566-7047",508-435-1000,925-600-6850 fax,,
118,Emota,"5824 Wolff Court LA Mesa, CA 91942-4107",619-215-5665,,,
119,"En ESPANOL Publishing Group, LLC","301 N Canon Dr Suite 304 Beverly Hills, CA 90210",310-248-2680,,,
120,Entertainment Earth,"12730 Raymer St Ste 1 North Hollywood, CA 91605-4207",818-255-0090,,,
121,EPIC Media Group,"605 South Douglass St El Segundo, CA 90245",310-827-8800,310-827-5800 fax,,
122,ESignal,"3955 Point Eden Way Hayward, CA 94545-3720",510-266-6000,,,
123,ESRI,"380 New York Street Redlands, CA 92373",909-793-2853,909-307-3039 fax,,
124,Esser Vineyards,"4040 Spring Mt Rd Saint Helena, CA 94574",707-963-1300,,,
125,Excircle Web Interactive,"11538 Windcrest Drive, Ste 316 San Diego, CA 92128",214-435-1386,,,
126,"Facebook, Inc.","1601 S California Ave Palo Alto, CA 94304",650-543-4800,,,
127,FileMaker Inc.,"5201 Patrick Henry Drive Santa Clara, CA 95054",408-987-7000,408-987-3931 fax,,
128,"Fireman's Fund","777 San Marin Novato, CA 94998",415-899-4850,,,
129,Franchise Services Inc.,"26772 Plaza Mission Viejo, CA 92691-",949-282-3800,,,
130,Freestyle Photographic Supplies,"5124 Sunset Blvd. Los Angeles, CA 90027-9897",323-660-3640,,,
131,"Frontline Direct, Inc.","2658 Del Mar Heights Rd #203 Del Mar, CA 92014-3100",858-638-1515,,,
132,"Global Agora, LLC","22647 Ventura Blvd., #323 Woodland Hills, CA 91364",818-332-7947,,,
133,Global Decision,"92 Corporate Park Suite C761 Irvine, CA 92606",949-981-5775,,,
134,"Goodman Marketing Partners, Inc.","4340 Redwood Highway, Suite B-52 San Rafael, CA 94903-2121",610-913-0445,415-507-9067 fax,,
135,Guthy-Renker Corp.,"3340 Ocean Park Boulevard Suite 3055 Santa Monica, CA 90405-3268",310-581-6250,310-581-3443 fax,,
136,Harvest Communications,"115 Sansome Street Suite 801 San Francisco, CA 94104",800-303-6405,800-926-8038 fax,,
137,"HD Supply, Facilities Maintenance","10641 Scripps Summit Ct San Diego, CA 92131-3961",858-831-2000,,,
138,HG Data Company,"1411 Firestone Road Goleta, CA 93117",805-689-1765,,,
139,"Hobbs Direct, Inc.","1 Embarcadero Suite 500 San Fransisco, CA 94111",415-794-3320,,,
140,Icon Media Direct,"5910 Lemona Ave Van Nuys, CA 91411",818-995-6400,818-995-6405 fax,,
141,Ideal Living,"7821 Orion Avenue Ste 200 Lake Balboa, CA 91406",818-217-2500,818-785-0100 fax,,
142,Inflection,"101 University Avenue Suite 320 Palo Alto, CA 94301",650-618-9914,,,
143,"Infocore, Inc.","2375 Camino Vida Roble Ste. A Carlsbad, CA 92011-1556",760-607-2500,760-607-2505 fax,,
144,Information Agent,"P. O. Box 4675 Chico, CA 95927-4675",530-895-0431,530-895-8470 fax,,
145,"Integrated Marketing Technology, Inc.","2269 Chestnut St. #992 San Francisco, CA 94123",415-888-2013,415-634-1669 fax,,
146,"InterMedia Advertising, Inc.","15760 Ventura Blvd 1st Floor Encino, CA 91436-3000",818-995-1455,818-995-7115 fax,,
147,Intuit,"7535 Torrey Santa Fe Rd San Diego, CA 92129",858-215-7170,,,
148,Involver,"611 Mission Street 7th Floor San Francisco, CA 94105",877-309-8293,,,
149,"Iron Mountain Fulfillment Services, Inc.","Corporate Office 565 Sinclair Frontage Rd Milpitas, CA 95035",770-880-5418,,,
150,Kaiser Permanente,"3100 Thornton Ave. Burbank, CA 91504",818-557-6150,,,
151,KXEN,"201 Mission Street Suite 1950 San Francisco, CA 94105",415-904-4160,415-904-9041 fax,,
152,LA Inc. The Los Angeles Convention & Visitors Bureau,"333 S. Hope Street 18th Fl. Los Angeles, CA 90071-1406",213-624-7300,,,
153,Lead5 Media,"6532 Kaiser Drive Fremont, CA 94555",415-738-2400,,,
154,"List Alliance, Inc.","45 Quail Court Ste. 206 Walnut Creek, CA 94596-5572",925-947-2390,925-947-2395 fax,,
155,LiveOps,"5425 Stevens Creek Blvd. Santa Clara, CA 95051",408-844-2400,,,
156,Local.com,"7555 Irvine Center Drive Irvine, CA 92618",949-784-0800,949-784-0880 fax,,
157,"Lyris, Inc.","5858 Horton Street Suite 270 Emeryville, CA 94608-2007",510-844-1600,,,
158,Magento,"10441 Jefferson Blvd Suite 200 Culver City, CA 90232",310-367-5334,,,
159,MAIL METRICS,"1417 Cabrillo Avenue Venice, CA 90292",310-699-3145,,,
160,Mal Warwick Associates,"2550 Ninth St. Ste. 103 Berkeley, CA 94710-2551",510-843-8888,510-843-0142 fax,,
161,Media Stream Direct,"14140 Ventura Blvd. Suite 206 Sherman Oaks, CA 91423",818-990-9028,818-990-1618 fax,,
162,MedicAlert Foundation,"2323 Colorado Ave. Turlock, CA 95382-2018",209-669-2422,,,
163,MindFireInc®,"30 Corporate Park Suite 301 Irvine, CA 92606-3102",949-474-4418,949-474-5967 fax,,
164,"Moby Wrap, Inc.","PO Box 1066 Chico, CA 95927-1066",530-898-8200,,,
165,Money Mailer Direct Marketing,"12131 Western Avenue Garden Grove, CA 92841-4937",714-889-3800,714-265-4132 fax,,
166,MSC,"6200 Canoga Ave., Ste. 102 Woodland Hills, CA 91367-2429",818-346-1600,818-712-0122 fax,,
167,National Pen Corporation,"12121 Scripps Summit Dr Ste 200 San Diego, CA 92131-4609",858-675-3000,,,
168,NetSpend,"901 Mariners Island Blvd Ste 300 San Mateo, CA 94404-5025",650-312-6886,,,
169,Nielsen Claritas,"9276 Scranton Rd Ste 300 San Diego, CA 92121-7700",800-866-6520,,,
170,Nor1 Upgrade Your Life,"18986 Tilson Avenue Cupertino, CA 95014",408-996-7417,408-608-0443 fax,,
171,Old Vine Marketing,"147 Old Vine Way Napa, CA 94558-7028",707-694-9647,707-251-9296 fax,,
172,Orbis Global,"811 Hamilton Street 2nd Floor, Suite B Redwood City, CA 94063",650-376-2160,,,
173,Pamela Cotrupe,"10312 Christine Pl. Chatsworth, CA 91311",818-624-0087,,,
174,Pamoja Enterrpises Inc,"812 Alta St Monrovia, CA 91016",323-712-2927,,,
175,"Pasternack Enterprises, Inc.","PO Box 16759 Irvine, CA 92623-6759",949-261-1920,,,
176,Patagonia,"259 W Santa Clara St Ventura, CA 93001-2545",805-643-8616,,,
177,Patelco Credit Union,"156 2nd Street San Francisco, CA 94105",415-442-6200,,,
178,PIP Printing and Marketing Services,"10417 Lakewood Blvd. Downey, CA 90241",562-861-0863,,,
179,PIP Printing Sacramento,"4825 Aubrun Blvd Sacramento, CA 95841",916-334-0334,,,
180,PowerDirect Marketing,"4700 Von Karman Avenue Newport Beach, CA 92660",877-737-8977,949-353-3458 fax,,
181,Premier Data Solution,"2390-C Las Posas Suite 234 Camarillo, CA 93010-9107",805-987-2789,805-445-8876 fax,,
182,Princess Cruises,"10100 Santa Monica Blvd #1800 Los Angeles, CA 90067-4189",661-753-0000,310-284-2844 fax,,
183,"Proven Prospects, Inc.","P.O. Box 3041 Santa Barbara, CA 93110",805-448-6253,,,
184,Proximiant,"800 West El Camino Real Ste. 180 Mountain View, CA 94040",917-763-9557,,,
185,Quiterian Inc.,"11601 Wilshire Blvd.5th Floor. Los Angeles, CA 90025",349-337-14470,,,
186,Rapleaf,"667 Mission Street, 4th Floor San Francisco, CA 94105",415-886-7270,,,
187,Rauxa,"275A McCormick Ave. Costa Mesa, CA 92626",714-427-1271,714-427-0661 fax,,
188,Reputation.com,"2688 Middlefield Road, Suite C Redwood City, CA 99063",877-720-6488,650-456-2277 fax,,
189,Response Magazine,"201 Sandpointe Ave., Ste. 500 Santa Ana, CA 92707",714-338-6724,714-338-6710 fax,,
190,REVSHARE,"32836 Wolf Store Road  , CA",951-302-2091 EXT 430,,,
191,Rosland Capital LLC,"429 SDanta Monica Blvd. Ste. 450 Santa Monica, CA 90401",800-891-2341,,,
192,RPA,"2525 Colorado Santa Monica, CA 90404-3552",310-633-6514,,,
193,Russ Reid,"2 N Lake Ave Ste 600 Pasadena, CA 91101-1868",626-463-9483,626-449-6190 fax,,
194,Salford Systems,"9685 Via Excelencia Suite 208 San Diego, CA 92126",619-543-8880,619-543-8888 fax,,
195,Sir Speedy Printing #02260,"3627 Serpentine Dr. Los Alamitos, CA 90720",562-493-2551,562-431-7350 fax,,
196,Social Reality,"102 La Patera Drive Camarillo, CA 93010",415-744-1509,612-435-4919 fax,,
197,SS Whittier,"7240 Greenleaf Ave. Whittier, CA 90602",562-698-7513,562.696.0550 fax,,
198,"Subco, Inc.","3585 West Beechwood Avenue Suite 106 Fresno, CA 93711",800-258-3350 x101,,,
199,"Subscription Partners, LLC","2269 Chestnut Partners, LLC San Francisco, CA 94123",415-699-2280,,,
200,Sun Chlorella USA,"3305 Kashiwa St. Torrance, CA 90630",310-891-0600,,,
201,System Pavers,"3750 South Susan St Santa Ana, CA 92704",949-263-8300,,,
202,"Tamrac, Inc.","9240 Jordan Avenue Chatsworth, CA 91311-5769",818-407-9500,,,
203,"TDMS, Inc.","PO Box 2510 Huntington Beach, CA 92647",714-330-9140,,,
204,Teleflora,"11444 W Olympic Blvd Fl 4 Los Angeles, CA 90064-1546",310-966-3586,,,
205,The DuMont Project,"4640 Admiralty Way Suite 1010 Marina Del Rey, CA 90292",800-778-2990,,,
206,The Leap Group,"11 Waverly Road San Anselmo, CA 94960",415-456-7404,415-459-4613 fax,,
207,The Nielsen Company,"9276 Scranton Road Suite 200 San Diego, CA 92121",858-622-0800,858-550-5800 fax,,
208,The Search Agency,"3420 Ocean Park Boulevard Suite 2020 Santa Monica, CA 90405",310-582-5700,310-452-2422 fax,,
209,TIBCO Software Inc.,"3303 Hillview Avenue Palo Alto, CA 94304-1204",650-846-1000,650-846-1215 fax,,
210,Touch Commerce,"30501 Agoura Road Suite 203 Agoura Hills, CA 91301",818-575-2100,818-575-2105 fax,,
211,"Trancos, Inc.","1450 Veterans Blvd Suite 100 Redwood City, CA 94063-2617",650-364-3110,650-364-3184 fax,,
212,TRANSAMERICA RETIREMENT SERVICES,"1150 S. Olive St Los Angeles, CA 90015",888-401-5826,,,
213,"Tricision, Inc.","P.O. Box 2147 Granite Bay, CA 95746",916-652-9317,,,
